id,category,amount
442,Clothing,200
443,Home,20
444,Electronics,100
445,Clothing,50
446,Home,200
447,Electronics,20
448,Clothing,100
449,Home,50
450,Electronics,200
451,Clothing,20
452,Home,100
453,Electronics,50
454,Clothing,200
455,Home,20
456,Electronics,100
457,Clothing,50
458,Home,200
459,Electronics,20
460,Clothing,100
461,Home,50
462,Electronics,200
463,Clothing,20
464,Home,100
465,Electronics,50
466,Clothing,200
467,Home,20
468,Electronics,100
469,Clothing,50
470,Home,200
471,Electronics,20
472,Clothing,100
473,Home,50
474,Electronics,200
475,Clothing,20
476,Home,100
477,Electronics,50
478,Clothing,200
479,Home,20
480,Electronics,100
481,Clothing,50
482,Home,200
483,Electronics,20
484,Clothing,100
485,Home,50
486,Electronics,200
487,Clothing,20
488,Home,100
489,Electronics,50
490,Clothing,200
491,Home,20
492,Electronics,100
493,Clothing,50
494,Home,200
495,Electronics,20
496,Clothing,100
497,Home,50
498,Electronics,200
499,Clothing,20
500,Home,100
501,Electronics,50
502,Clothing,200
503,Home,20
504,Electronics,100
505,Clothing,50
506,Home,200
507,Electronics,20
508,Clothing,100
509,Home,50
510,Electronics,200
511,Clothing,20
512,Home,100
513,Electronics,50
514,Clothing,200
515,Home,20
516,Electronics,100
517,Clothing,50
518,Home,200
519,Electronics,20
520,Clothing,100
521,Home,50
522,Electronics,200
523,Clothing,20
524,Home,100
525,Electronics,50
526,Clothing,200
527,Home,20
528,Electronics,100
529,Clothing,50
530,Home,200
531,Electronics,20
532,Clothing,100
533,Home,50
534,Electronics,200
535,Clothing,20
536,Home,100
537,Electronics,50
538,Clothing,200
539,Home,20
540,Electronics,100
541,Clothing,50
542,Home,200
543,Electronics,20
544,Clothing,100
545,Home,50
546,Electronics,200
547,Clothing,20
548,Home,100
549,Electronics,50
550,Clothing,200
551,Home,20
552,Electronics,100
553,Clothing,50
554,Home,200
555,Electronics,20
556,Clothing,100
557,Home,50
558,Electronics,200
559,Clothing,20
560,Home,100
561,Electronics,50
562,Clothing,200
563,Home,20
564,Electronics,100
565,Clothing,50
566,Home,200
567,Electronics,20
568,Clothing,100
569,Home,50
570,Electronics,200
571,Clothing,20
572,Home,100
573,Electronics,50
574,Clothing,200
575,Home,20
576,Electronics,100
577,Clothing,50
578,Home,200
579,Electronics,20
580,Clothing,100
581,Home,50
582,Electronics,200
583,Clothing,20
584,Home,100
585,Electronics,50
586,Clothing,200
587,Home,20
588,Electronics,100
589,Clothing,50
590,Home,200
591,Electronics,20
592,Clothing,100
593,Home,50
594,Electronics,200
595,Clothing,20
596,Home,100
597,Electronics,50
598,Clothing,200
599,Home,20
600,Electronics,100
601,Clothing,50
602,Home,200
603,Electronics,20
604,Clothing,100
605,Home,50
606,Electronics,200
607,Clothing,20
608,Home,100
609,Electronics,50
610,Clothing,200
611,Home,20
612,Electronics,100
613,Clothing,50
614,Home,200
615,Electronics,20
616,Clothing,100
617,Home,50
618,Electronics,200
619,Clothing,20
620,Home,100
621,Electronics,50
622,Clothing,200
623,Home,20
624,Electronics,100
625,Clothing,50
626,Home,200
627,Electronics,20
628,Clothing,100
629,Home,50
630,Electronics,200
631,Clothing,20
632,Home,100
633,Electronics,50
634,Clothing,200
635,Home,20
636,Electronics,100
637,Clothing,50
638,Home,200
639,Electronics,20
640,Clothing,100
641,Home,50
642,Electronics,200
643,Clothing,20
644,Home,100
645,Electronics,50
646,Clothing,200
647,Home,20
648,Electronics,100
649,Clothing,50
650,Home,200
651,Electronics,20
652,Clothing,100
653,Home,50
654,Electronics,200
655,Clothing,20
656,Home,100
657,Electronics,50
658,Clothing,200
659,Home,20
660,Electronics,100
661,Clothing,50
662,Home,200
663,Electronics,20
664,Clothing,100
665,Home,50
666,Electronics,200
667,Clothing,20
668,Home,100
669,Electronics,50
670,Clothing,200
671,Home,20
672,Electronics,100
673,Clothing,50
674,Home,200
675,Electronics,20
676,Clothing,100
677,Home,50
678,Electronics,200
679,Clothing,20
680,Home,100
681,Electronics,50
682,Clothing,200
683,Home,20
684,Electronics,100
685,Clothing,50
686,Home,200
687,Electronics,20
688,Clothing,100
689,Home,50
690,Electronics,200
691,Clothing,20
692,Home,100
693,Electronics,50
694,Clothing,200
695,Home,20
696,Electronics,100
697,Clothing,50
698,Home,200
699,Electronics,20
700,Clothing,100
701,Home,50
702,Electronics,200
703,Clothing,20
704,Home,100
705,Electronics,50
706,Clothing,200
707,Home,20
708,Electronics,100
709,Clothing,50
710,Home,200
711,Electronics,20
712,Clothing,100
713,Home,50
714,Electronics,200
715,Clothing,20
716,Home,100
717,Electronics,50
718,Clothing,200
719,Home,20
720,Electronics,100
721,Clothing,50
722,Home,200
723,Electronics,20
724,Clothing,100
725,Home,50
726,Electronics,200
727,Clothing,20
728,Home,100
729,Electronics,50
730,Clothing,200
731,Home,20
732,Electronics,100
733,Clothing,50
734,Home,200
735,Electronics,20
736,Clothing,100
737,Home,50
738,Electronics,200
739,Clothing,20
740,Home,100
741,Electronics,50
742,Clothing,200
743,Home,20
744,Electronics,100
745,Clothing,50
746,Home,200
747,Electronics,20
748,Clothing,100
749,Home,50
750,Electronics,200
751,Clothing,20
752,Home,100
753,Electronics,50
754,Clothing,200
755,Home,20
756,Electronics,100
757,Clothing,50
758,Home,200
759,Electronics,20
760,Clothing,100
761,Home,50
762,Electronics,200
763,Clothing,20
764,Home,100
765,Electronics,50
766,Clothing,200
767,Home,20
768,Electronics,100
769,Clothing,50
770,Home,200
771,Electronics,20
772,Clothing,100
773,Home,50
774,Electronics,200
775,Clothing,20
776,Home,100
777,Electronics,50
778,Clothing,200
779,Home,20
780,Electronics,100
781,Clothing,50
782,Home,200
783,Electronics,20
784,Clothing,100
785,Home,50
786,Electronics,200
787,Clothing,20
788,Home,100
789,Electronics,50
790,Clothing,200
791,Home,20
792,Electronics,100
793,Clothing,50
794,Home,200
795,Electronics,20
796,Clothing,100
797,Home,50
798,Electronics,200
799,Clothing,20
800,Home,100
801,Electronics,50
802,Clothing,200
803,Home,20
804,Electronics,100
805,Clothing,50
806,Home,200
807,Electronics,20
808,Clothing,100
809,Home,50
810,Electronics,200
811,Clothing,20
812,Home,100
813,Electronics,50
814,Clothing,200
815,Home,20
816,Electronics,100
817,Clothing,50
818,Home,200
819,Electronics,20
820,Clothing,100
821,Home,50
822,Electronics,200
823,Clothing,20
824,Home,100
825,Electronics,50
826,Clothing,200
827,Home,20
828,Electronics,100
829,Clothing,50
830,Home,200
831,Electronics,20
832,Clothing,100
833,Home,50
834,Electronics,200
835,Clothing,20
836,Home,100
837,Electronics,50
838,Clothing,200
839,Home,20
840,Electronics,100
841,Clothing,50
842,Home,200
843,Electronics,20
844,Clothing,100
845,Home,50
846,Electronics,200
847,Clothing,20
848,Home,100
849,Electronics,50
850,Clothing,200
851,Home,20
852,Electronics,100
853,Clothing,50
854,Home,200
855,Electronics,20
856,Clothing,100
857,Home,50
858,Electronics,200
859,Clothing,20
860,Home,100
861,Electronics,50
862,Clothing,200
863,Home,20
864,Electronics,100
865,Clothing,50
866,Home,200
867,Electronics,20
868,Clothing,100
869,Home,50
870,Electronics,200
871,Clothing,20
872,Home,100
873,Electronics,50
874,Clothing,200
875,Home,20
876,Electronics,100
877,Clothing,50
878,Home,200
879,Electronics,20
880,Clothing,100
881,Home,50
882,Electronics,200
883,Clothing,20
884,Home,100
885,Electronics,50
886,Clothing,200
887,Home,20
888,Electronics,100
889,Clothing,50
890,Home,200
891,Electronics,20
892,Clothing,100
893,Home,50
894,Electronics,200
895,Clothing,20
896,Home,100
897,Electronics,50
898,Clothing,200
899,Home,20
900,Electronics,100
901,Clothing,50
902,Home,200
903,Electronics,20
904,Clothing,100
905,Home,50
906,Electronics,200
907,Clothing,20
908,Home,100
909,Electronics,50
910,Clothing,200
911,Home,20
912,Electronics,100
913,Clothing,50
914,Home,200
915,Electronics,20
916,Clothing,100
917,Home,50
918,Electronics,200
919,Clothing,20
920,Home,100
921,Electronics,50
922,Clothing,200
923,Home,20
924,Electronics,100
925,Clothing,50
926,Home,200
927,Electronics,20
928,Clothing,100
929,Home,50
930,Electronics,200
931,Clothing,20
932,Home,100
933,Electronics,50
934,Clothing,200
935,Home,20
936,Electronics,100
937,Clothing,50
938,Home,200
939,Electronics,20
940,Clothing,100
941,Home,50
942,Electronics,200
943,Clothing,20
944,Home,100
945,Electronics,50
946,Clothing,200
947,Home,20
948,Electronics,100
949,Clothing,50
950,Home,200
951,Electronics,20
952,Clothing,100
953,Home,50
954,Electronics,200
955,Clothing,20
956,Home,100
957,Electronics,50
958,Clothing,200
959,Home,20
960,Electronics,100
961,Clothing,50
962,Home,200
963,Electronics,20
964,Clothing,100
965,Home,50
966,Electronics,200
967,Clothing,20
968,Home,100
969,Electronics,50
970,Clothing,200
971,Home,20
972,Electronics,100
973,Clothing,50
974,Home,200
975,Electronics,20
976,Clothing,100
977,Home,50
978,Electronics,200
979,Clothing,20
980,Home,100
981,Electronics,50
982,Clothing,200
983,Home,20
984,Electronics,100
985,Clothing,50
986,Home,200
987,Electronics,20
988,Clothing,100
989,Home,50
990,Electronics,200
991,Clothing,20
992,Home,100
993,Electronics,50
994,Clothing,200
995,Home,20
996,Electronics,100
997,Clothing,50
998,Home,200
999,Electronics,20
1000,Clothing,100
1001,Home,50
1002,Electronics,200
1003,Clothing,20
1004,Home,100
1005,Electronics,50
1006,Clothing,200
1007,Home,20
1008,Electronics,100
1009,Clothing,50
1010,Home,200
1011,Electronics,20
1012,Clothing,100
1013,Home,50
1014,Electronics,200
1015,Clothing,20
1016,Home,100
1017,Electronics,50
1018,Clothing,200
1019,Home,20
1020,Electronics,100
1021,Clothing,50
1022,Home,200
1023,Electronics,20
1024,Clothing,100
1025,Home,50
1026,Electronics,200
1027,Clothing,20
1028,Home,100
1029,Electronics,50
1030,Clothing,200
1031,Home,20
1032,Electronics,100
1033,Clothing,50
1034,Home,200
1035,Electronics,20
1036,Clothing,100
1037,Home,50
1038,Electronics,200
1039,Clothing,20
1040,Home,100
1041,Electronics,50
1042,Clothing,200
1043,Home,20
1044,Electronics,100
1045,Clothing,50
1046,Home,200
1047,Electronics,20
1048,Clothing,100
1049,Home,50
1050,Electronics,200
1051,Clothing,20
1052,Home,100
1053,Electronics,50
1054,Clothing,200
1055,Home,20
1056,Electronics,100
1057,Clothing,50
1058,Home,200
1059,Electronics,20
1060,Clothing,100
1061,Home,50
1062,Electronics,200
1063,Clothing,20
1064,Home,100
1065,Electronics,50
1066,Clothing,200
1067,Home,20
1068,Electronics,100
1069,Clothing,50
1070,Home,200
1071,Electronics,20
1072,Clothing,100
1073,Home,50
1074,Electronics,200
1075,Clothing,20
1076,Home,100
1077,Electronics,50
1078,Clothing,200
1079,Home,20
1080,Electronics,100
1081,Clothing,50
1082,Home,200
1083,Electronics,20
1084,Clothing,100
1085,Home,50
1086,Electronics,200
1087,Clothing,20
1088,Home,100
1089,Electronics,50
1090,Clothing,200
1091,Home,20
1092,Electronics,100
1093,Clothing,50
1094,Home,200
1095,Electronics,20
1096,Clothing,100
1097,Home,50
1098,Electronics,200
1099,Clothing,20
1100,Home,100
1101,Electronics,50
1102,Clothing,200
1103,Home,20
1104,Electronics,100
1105,Clothing,50
1106,Home,200
1107,Electronics,20
1108,Clothing,100
1109,Home,50
1110,Electronics,200
1111,Clothing,20
1112,Home,100
1113,Electronics,50
1114,Clothing,200
1115,Home,20
1116,Electronics,100
1117,Clothing,50
1118,Home,200
1119,Electronics,20
1120,Clothing,100
1121,Home,50
1122,Electronics,200
1123,Clothing,20
1124,Home,100
1125,Electronics,50
1126,Clothing,200
1127,Home,20
1128,Electronics,100
1129,Clothing,50
1130,Home,200
1131,Electronics,20
1132,Clothing,100
1133,Home,50
1134,Electronics,200
1135,Clothing,20
1136,Home,100
1137,Electronics,50
1138,Clothing,200
1139,Home,20
1140,Electronics,100
1141,Clothing,50
1142,Home,200
1143,Electronics,20
1144,Clothing,100
1145,Home,50
1146,Electronics,200
1147,Clothing,20
1148,Home,100
1149,Electronics,50
1150,Clothing,200
1151,Home,20
1152,Electronics,100
1153,Clothing,50
1154,Home,200
1155,Electronics,20
1156,Clothing,100
1157,Home,50
1158,Electronics,200
1159,Clothing,20
1160,Home,100
1161,Electronics,50
1162,Clothing,200
1163,Home,20
1164,Electronics,100
1165,Clothing,50
1166,Home,200
1167,Electronics,20
1168,Clothing,100
1169,Home,50
1170,Electronics,200
1171,Clothing,20
1172,Home,100
1173,Electronics,50
1174,Clothing,200
1175,Home,20
1176,Electronics,100
1177,Clothing,50
1178,Home,200
1179,Electronics,20
1180,Clothing,100
1181,Home,50
1182,Electronics,200
1183,Clothing,20
1184,Home,100
1185,Electronics,50
1186,Clothing,200
1187,Home,20
1188,Electronics,100
1189,Clothing,50
1190,Home,200
1191,Electronics,20
1192,Clothing,100
1193,Home,50
1194,Electronics,200
1195,Clothing,20
1196,Home,100
1197,Electronics,50
1198,Clothing,200
1199,Home,20
1200,Electronics,100
1201,Clothing,50
1202,Home,200
1203,Electronics,20
1204,Clothing,100
1205,Home,50
1206,Electronics,200
1207,Clothing,20
1208,Home,100
1209,Electronics,50
1210,Clothing,200
1211,Home,20
1212,Electronics,100
1213,Clothing,50
1214,Home,200
1215,Electronics,20
1216,Clothing,100
1217,Home,50
1218,Electronics,200
1219,Clothing,20
1220,Home,100
1221,Electronics,50
1222,Clothing,200
1223,Home,20
1224,Electronics,100
1225,Clothing,50
1226,Home,200
1227,Electronics,20
1228,Clothing,100
1229,Home,50
1230,Electronics,200
1231,Clothing,20
1232,Home,100
1233,Electronics,50
1234,Clothing,200
1235,Home,20
1236,Electronics,100
1237,Clothing,50
1238,Home,200
1239,Electronics,20
1240,Clothing,100
1241,Home,50
1242,Electronics,200
1243,Clothing,20
1244,Home,100
1245,Electronics,50
1246,Clothing,200
1247,Home,20
1248,Electronics,100
1249,Clothing,50
1250,Home,200
1251,Electronics,20
1252,Clothing,100
1253,Home,50
1254,Electronics,200
1255,Clothing,20
1256,Home,100
1257,Electronics,50
1258,Clothing,200
1259,Home,20
1260,Electronics,100
1261,Clothing,50
1262,Home,200
1263,Electronics,20
1264,Clothing,100
1265,Home,50
1266,Electronics,200
1267,Clothing,20
1268,Home,100
1269,Electronics,50
1270,Clothing,200
1271,Home,20
1272,Electronics,100
1273,Clothing,50
1274,Home,200
1275,Electronics,20
1276,Clothing,100
1277,Home,50
1278,Electronics,200
1279,Clothing,20
1280,Home,100
1281,Electronics,50
1282,Clothing,200
1283,Home,20
1284,Electronics,100
1285,Clothing,50
1286,Home,200
1287,Electronics,20
1288,Clothing,100
1289,Home,50
1290,Electronics,200
1291,Clothing,20
1292,Home,100
1293,Electronics,50
1294,Clothing,200
1295,Home,20
1296,Electronics,100
1297,Clothing,50
1298,Home,200
1299,Electronics,20
1300,Clothing,100
1301,Home,50
1302,Electronics,200
1303,Clothing,20
1304,Home,100
1305,Electronics,50
1306,Clothing,200
1307,Home,20
1308,Electronics,100
1309,Clothing,50
1310,Home,200
1311,Electronics,20
1312,Clothing,100
1313,Home,50
1314,Electronics,200
1315,Clothing,20
1316,Home,100
1317,Electronics,50
1318,Clothing,200
1319,Home,20
1320,Electronics,100
1321,Clothing,50
1322,Home,200
1323,Electronics,20
1324,Clothing,100
1325,Home,50
1326,Electronics,200
1327,Clothing,20
1328,Home,100
1329,Electronics,50
1330,Clothing,200
1331,Home,20
1332,Electronics,100
1333,Clothing,50
1334,Home,200
1335,Electronics,20
1336,Clothing,100
1337,Home,50
1338,Electronics,200
1339,Clothing,20
1340,Home,100
1341,Electronics,50
1342,Clothing,200
1343,Home,20
1344,Electronics,100
1345,Clothing,50
1346,Home,200
1347,Electronics,20
1348,Clothing,100
1349,Home,50
1350,Electronics,200
1351,Clothing,20
1352,Home,100
1353,Electronics,50
1354,Clothing,200
1355,Home,20
1356,Electronics,100
1357,Clothing,50
1358,Home,200
1359,Electronics,20
1360,Clothing,100
1361,Home,50
1362,Electronics,200
1363,Clothing,20
1364,Home,100
1365,Electronics,50
1366,Clothing,200
1367,Home,20
1368,Electronics,100
1369,Clothing,50
1370,Home,200
1371,Electronics,20
1372,Clothing,100
1373,Home,50
1374,Electronics,200
1375,Clothing,20
1376,Home,100
1377,Electronics,50
1378,Clothing,200
1379,Home,20
1380,Electronics,100
1381,Clothing,50
1382,Home,200
1383,Electronics,20
1384,Clothing,100
1385,Home,50
1386,Electronics,200
1387,Clothing,20
1388,Home,100
1389,Electronics,50
1390,Clothing,200
1391,Home,20
1392,Electronics,100
1393,Clothing,50
1394,Home,200
1395,Electronics,20
1396,Clothing,100
1397,Home,50
1398,Electronics,200
1399,Clothing,20
1400,Home,100
1401,Electronics,50
1402,Clothing,200
1403,Home,20
1404,Electronics,100
1405,Clothing,50
1406,Home,200
1407,Electronics,20
1408,Clothing,100
1409,Home,50
1410,Electronics,200
1411,Clothing,20
1412,Home,100
1413,Electronics,50
1414,Clothing,200
1415,Home,20
1416,Electronics,100
1417,Clothing,50
1418,Home,200
1419,Electronics,20
1420,Clothing,100
1421,Home,50
1422,Electronics,200
1423,Clothing,20
1424,Home,100
1425,Electronics,50
1426,Clothing,200
1427,Home,20
1428,Electronics,100
1429,Clothing,50
1430,Home,200
1431,Electronics,20
1432,Clothing,100
1433,Home,50
1434,Electronics,200
1435,Clothing,20
1436,Home,100
1437,Electronics,50
1438,Clothing,200
1439,Home,20
1440,Electronics,100
1441,Clothing,50
1442,Home,200
1443,Electronics,20
1444,Clothing,100
1445,Home,50
1446,Electronics,200
1447,Clothing,20
1448,Home,100
1449,Electronics,50
1450,Clothing,200
1451,Home,20
1452,Electronics,100
1453,Clothing,50
1454,Home,200
1455,Electronics,20
1456,Clothing,100
1457,Home,50
1458,Electronics,200
1459,Clothing,20
1460,Home,100
1461,Electronics,50
1462,Clothing,200
1463,Home,20
1464,Electronics,100
1465,Clothing,50
1466,Home,200
1467,Electronics,20
1468,Clothing,100
1469,Home,50
1470,Electronics,200
1471,Clothing,20
1472,Home,100
1473,Electronics,50
1474,Clothing,200
1475,Home,20
1476,Electronics,100
1477,Clothing,50
1478,Home,200
1479,Electronics,20
1480,Clothing,100
1481,Home,50
1482,Electronics,200
1483,Clothing,20
1484,Home,100
1485,Electronics,50
1486,Clothing,200
1487,Home,20
1488,Electronics,100
1489,Clothing,50
1490,Home,200
1491,Electronics,20
1492,Clothing,100
1493,Home,50
1494,Electronics,200
1495,Clothing,20
1496,Home,100
1497,Electronics,50
1498,Clothing,200
1499,Home,20
1500,Electronics,100
1501,Clothing,50
1502,Home,200
1503,Electronics,20
1504,Clothing,100
1505,Home,50
1506,Electronics,200
1507,Clothing,20
1508,Home,100
1509,Electronics,50
1510,Clothing,200
1511,Home,20
1512,Electronics,100
1513,Clothing,50
1514,Home,200
1515,Electronics,20
1516,Clothing,100
1517,Home,50
1518,Electronics,200
1519,Clothing,20
1520,Home,100
1521,Electronics,50
1522,Clothing,200
1523,Home,20
1524,Electronics,100
1525,Clothing,50
1526,Home,200
1527,Electronics,20
1528,Clothing,100
1529,Home,50
1530,Electronics,200
1531,Clothing,20
1532,Home,100
1533,Electronics,50
1534,Clothing,200
1535,Home,20
1536,Electronics,100
1537,Clothing,50
1538,Home,200
1539,Electronics,20
1540,Clothing,100
1541,Home,50
1542,Electronics,200
1543,Clothing,20
1544,Home,100
1545,Electronics,50
1546,Clothing,200
1547,Home,20
1548,Electronics,100
1549,Clothing,50
1550,Home,200
1551,Electronics,20
1552,Clothing,100
1553,Home,50
1554,Electronics,200
1555,Clothing,20
1556,Home,100
1557,Electronics,50
1558,Clothing,200
1559,Home,20
1560,Electronics,100
1561,Clothing,50
1562,Home,200
1563,Electronics,20
1564,Clothing,100
1565,Home,50
1566,Electronics,200
1567,Clothing,20
1568,Home,100
1569,Electronics,50
1570,Clothing,200
1571,Home,20
1572,Electronics,100
1573,Clothing,50
1574,Home,200
1575,Electronics,20
1576,Clothing,100
1577,Home,50
1578,Electronics,200
1579,Clothing,20
1580,Home,100
1581,Electronics,50
1582,Clothing,200
1583,Home,20
1584,Electronics,100
1585,Clothing,50
1586,Home,200
1587,Electronics,20
1588,Clothing,100
1589,Home,50
1590,Electronics,200
1591,Clothing,20
1592,Home,100
1593,Electronics,50
1594,Clothing,200
1595,Home,20
1596,Electronics,100
1597,Clothing,50
1598,Home,200
1599,Electronics,20
1600,Clothing,100
1601,Home,50
1602,Electronics,200
1603,Clothing,20
1604,Home,100
